City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,cedar city,37.6775,-113.0619,7.54,42,100,13.89,Cedar City,1669954290
228,vestmannaeyjar,63.4427,-20.2734,6.9,71,100,10.22,Vestmannaeyjar,1669954365
229,broken hill,-31.95,141.4333,28.22,21,0,3.03,Broken Hill,1669954366
230,ilulissat,69.2167,-51.1,-21.05,69,10,4.83,Ilulissat,1669954367
231,sardhana,29.15,77.6167,19.24,30,43,0.06,Sardhana,1669954369
232,kavieng,-2.5744,150.7967,28.84,71,91,2.68,Kavieng,1669954370
233,termiz,37.2242,67.2783,4.05,56,75,5.14,Termez,1669954371
234,pangnirtung,66.1451,-65.7125,-15.74,79,100,4.98,Pangnirtung,1669954373
235,provideniya,64.3833,-173.3,1.06,100,100,6.0,Provideniya,1669954340
236,lata,40.1629,-8.3327,4.95,72,0,2.06,Lata,1669954375
237,sept-iles,50.2001,-66.3821,-2.19,72,87,4.92,Sept-Îles,1669954377
238,son tay,21.1378,105.505,14.96,76,100,0.92,Son Tay,1669954378
239,puerto baquerizo moreno,-0.9,-89.6,20.6,78,77,4.98,Puerto Baquerizo Moreno,1669954379
240,kayes,14.0,-11.0,27.94,20,100,1.58,Kayes,1669954381
241,gorin,51.1983,136.6669,-17.31,67,9,2.02,Gorin,1669954382
242,kasama,-10.2129,31.1808,16.51,93,100,1.09,Kasama,1669954383
243,coquimbo,-29.9533,-71.3436,14.85,94,100,2.57,Coquimbo,1669954385
244,sloboda,51.1421,40.3021,-5.24,77,94,3.83,Sloboda,1669954386
245,mount gambier,-37.8333,140.7667,22.84,42,5,3.29,Mount Gambier,1669954388
246,birin,26.8865,88.0718,16.67,44,0,1.89,Birin,1669954390
247,kruisfontein,-34.0033,24.7314,14.94,85,42,4.73,Kruisfontein,1669954391
248,oranjemund,-28.55,16.4333,16.08,93,35,4.56,Oranjemund,1669954392
249,willowmore,-33.2926,23.4895,15.89,69,3,2.45,Willowmore,1669954394
250,george,-33.963,22.4617,18.75,82,40,2.57,George,1669954396
251,struthers,41.0526,-80.6078,-1.51,80,0,0.0,Struthers,1669954397
252,iqaluit,63.7506,-68.5145,-11.15,85,100,8.23,Iqaluit,1669954399
253,longyearbyen,78.2186,15.6401,4.91,70,40,6.17,Longyearbyen,1669954400
254,russell,32.3502,-85.1999,7.23,87,0,0.0,Russell,1669954402
255,lazaro cardenas,17.9583,-102.2,24.88,83,77,1.84,Lázaro Cárdenas,1669954403
256,tallahassee,30.4383,-84.2807,10.11,83,0,2.86,Tallahassee,1669954405
257,roma,43.2128,-75.4557,0.77,71,100,4.12,Rome,1669954345
258,sao filipe,14.8961,-24.4956,22.54,66,100,5.37,São Filipe,1669954408
259,hithadhoo,-0.6,73.0833,27.4,69,5,3.66,Hithadhoo,1669954410
260,grand gaube,-20.0064,57.6608,26.32,67,46,1.34,Grand Gaube,1669954411
261,murwara,23.85,80.4,19.62,48,0,1.81,Murwāra,1669954412
262,quilpue,-33.045,-71.4494,13.05,88,0,2.06,Quilpué,1669954414
263,acarau,-2.8856,-40.12,26.26,76,15,6.83,Acaraú,1669954415
264,leningradskiy,69.3833,178.4167,-2.24,87,100,2.22,Leningradskiy,1669954416
265,clyde river,70.4692,-68.5914,-25.53,88,100,0.72,Clyde River,1669954418
266,mildura,-34.2,142.15,30.04,34,0,2.6,Mildura,1669954211
267,upernavik,72.7868,-56.1549,-20.47,100,35,7.33,Upernavik,1669954171
268,mabay,6.0577,124.4666,29.63,68,98,1.86,Mabay,1669954421
269,kanniyakumari,8.0833,77.5667,28.31,68,96,5.89,Kanniyākumāri,1669954423
270,vostok,46.4856,135.8833,-16.94,81,97,4.88,Vostok,1669954424
271,nadym,65.5333,72.5167,-20.96,91,17,4.89,Nadym,1669954425
272,millinocket,45.6573,-68.7098,-2.55,54,40,8.75,Millinocket,1669954427
273,bourail,-21.5667,165.4833,30.86,61,100,4.37,Bourail,1669954428
274,komsomolskiy,40.4272,71.7189,1.4,86,100,3.09,Yangi Marg`ilon,1669954429
275,mangit,40.5971,70.9607,4.09,55,100,3.44,Mangit,1669954431
276,mahibadhoo,3.7833,72.9667,26.24,76,78,0.42,Mahibadhoo,1669954432
277,areosa,41.7178,-8.8571,9.13,61,15,3.18,Areosa,1669954433
278,bubaque,11.2833,-15.8333,26.91,65,31,8.39,Bubaque,1669954435
279,ust-kuyga,70.0167,135.6,-22.98,99,100,3.18,Ust-Kuyga,1669954436
280,numan,9.4667,12.0333,21.11,33,91,0.86,Numan,1669954438
281,cravo norte,6.3017,-70.2041,22.55,77,10,2.64,Cravo Norte,1669954440
282,labrea,-7.2586,-64.7981,24.68,90,43,0.76,Lábrea,1669954441
283,vanavara,60.34,102.2797,-23.94,87,74,2.44,Vanavara,1669954443
284,salalah,17.0151,54.0924,25.05,53,0,1.03,Salalah,1669954444
285,homer,59.6425,-151.5483,-3.87,61,0,0.0,Homer,1669954287
286,tazmalt,36.3868,4.3989,10.53,61,100,2.37,Tazmalt,1669954447
287,iquique,-20.2208,-70.1431,18.02,73,13,0.35,Iquique,1669954449
288,faanui,-16.4833,-151.75,27.13,78,17,7.91,Faanui,1669954452
289,nioro,13.35,-15.75,21.68,42,69,3.38,Nioro,1669954454
290,taoudenni,22.6783,-3.9836,17.26,14,5,0.18,Taoudenni,1669954455
291,ust-maya,60.4167,134.5333,-30.38,90,100,1.32,Ust-Maya,1669954457
292,rabaul,-4.1967,152.1721,28.74,74,100,5.32,Rabaul,1669954458
293,mucuri,-18.0864,-39.5508,23.37,93,100,4.32,Mucuri,1669954460
294,lompoc,34.6391,-120.4579,12.51,95,100,6.17,Lompoc,1669954461
295,anloga,5.7947,0.8973,26.61,81,84,4.12,Anloga,1669954463
296,teguldet,57.3064,88.1667,-21.39,97,80,1.21,Tegul'det,1669954465
297,san rafael del sur,11.8485,-86.4384,24.58,77,10,5.65,San Rafael del Sur,1669954466
298,corn island,12.1694,-83.0418,27.38,77,20,8.04,Corn Island,1669954468
299,tura,25.5198,90.2201,23.83,53,0,0.16,Tura,1669954469
300,agadir,30.4202,-9.5982,15.25,86,66,0.4,Agadir,1669954471
301,thunder bay,48.4001,-89.3168,-2.88,80,100,3.51,Thunder Bay,1669954430
302,catabola,-12.15,17.2833,14.67,96,94,0.82,Catabola,1669954473
303,yar-sale,66.8333,70.8333,-20.4,92,13,3.93,Yar-Sale,1669954475
304,lavrentiya,65.5833,-171.0,0.74,99,100,5.96,Lavrentiya,1669954340
305,sambava,-14.2667,50.1667,24.72,82,24,2.07,Sambava,1669954477
306,codrington,-38.2667,141.9667,17.81,69,7,5.2,Codrington,1669954479
307,port blair,11.6667,92.75,28.7,73,70,4.47,Port Blair,1669954480
308,gonen,40.1049,27.654,12.23,60,79,2.07,Gönen,1669954481
309,zalesovo,53.9939,84.7431,-19.21,94,31,1.87,Zalesovo,1669954483
310,xihua,33.7833,114.5167,4.79,29,30,5.28,Wacheng,1669954484
311,chuy,-33.6971,-53.4616,19.44,99,49,1.05,Chui,1669954485
312,trincomalee,8.5711,81.2335,27.45,75,40,2.31,Trincomalee,1669954487
313,seidu,9.0167,-10.6,19.7,95,100,0.55,Seidu,1669954489
314,boden,65.8252,21.6886,-4.0,96,100,0.94,Boden,1669954490
315,hambantota,6.1241,81.1185,27.87,71,87,3.52,Hambantota,1669954491
316,tiksi,71.6872,128.8694,-22.72,93,100,4.12,Tiksi,1669954493
317,lorengau,-2.0226,147.2712,28.92,71,96,2.02,Lorengau,1669954494
318,zhanaozen,43.3,52.8,-5.08,26,0,4.43,Zhangaözen,1669954495
319,saldanha,-33.0117,17.9442,16.65,80,56,7.33,Saldanha,1669954255
320,bereda,43.2686,-7.5406,3.01,100,11,0.9,Bereda,1669954498
321,buala,-8.145,159.5921,28.45,77,100,2.78,Buala,1669954499
322,vikulovo,56.8167,70.6107,-24.6,96,12,1.89,Vikulovo,1669954500
323,souillac,-20.5167,57.5167,24.84,71,10,3.02,Souillac,1669954502
324,clarence town,-32.5833,151.7833,22.86,49,100,4.73,Clarence Town,1669954504
325,libreville,0.3925,9.4537,25.95,83,100,2.01,Libreville,1669954505
326,kamenka,51.3223,42.7678,-5.99,76,89,2.95,Kamenka,1669954508
327,beyneu,45.3167,55.2,-4.78,31,0,2.62,Beyneu,1669954509
328,vallenar,-28.5708,-70.7581,17.61,71,0,1.5,Vallenar,1669954511
329,areia branca,-4.9561,-37.1369,25.89,73,22,7.09,Areia Branca,1669954513
330,thompson,55.7435,-97.8558,-29.2,99,67,1.63,Thompson,1669954515
331,klyuchevskiy,53.5317,119.4519,-23.44,78,45,0.58,Klyuchevskiy,1669954517
332,antri,26.0567,78.2144,18.97,45,0,2.1,Antri,1669954518
